timecode,duration(s),title,notes,script
00:15:56:41,8.35,Marker 35,Saved myself with a cape stun. When in doubt; use it to give yourself a little time to figure out how to react to the situation. Fleeing vs; fighting; vs eliminating. The other enemies in the room and their locations will determine which approach is most appropriate,
00:16:06:53,4.02,Marker 36,Sometimes thugs will look up at gargoyles when they are alert. If you are on top of one when this happens; they will detect you,
00:16:22:47,10.62,Railing Corner Takedown,I meant to say on the corner of the railing. Even though it's clearly not a solid surface; it still blocks you from enemy vision,
00:16:36:57,5.20,Forcing Climb Down,The prompt was only allowing me to climb over the railing,
00:16:48:05,8.02,Silent GT,In later games; the enemies can hear the noise of GT from across the map and will rush to investigate,
00:17:31:58,5.77,Single Minded Thugs,Unfortunately; if thugs are busy with another task; like following Joker's orders; they will ignore the sonic batarang lure,
00:17:48:10,3.32,Batarang Lure,When in doubt; making noise with regular batarang can still function as a lure,
00:18:16:23,3.02,Challenge,Maybe that's part of the challenge though,
00:18:22:50,8.87,The Point,While you should spend time rehearsing repeatable sequences of attacks in predator challenges; I wanted to demonstrate that they are doable on the fly,
00:18:42:27,8.00,CC + GT,This is a good example of crowd controlling with the ultra batclaw and then doing GT on an isolated target,
00:18:51:38,3.02,Multi-hit,Got a multi-hit there,
00:19:10:11,5.02,Batarang Against Stunstick,Batarang is always a safe tactic to use against stunstick wielding enemies,
00:19:25:07,6.28,GT Targetting,Usually the range is more influential than the movement direction your holding when the game decides which target to hit with GT,
00:19:32:21,10.47,Marker 39,I expected one of the thugs to run into me and fall on the ground for a GT setup and I overcommitted. I should have confirmed the hit first,
00:19:48:12,14.38,Marker 40,In general; I like to start my combo with a flying kick; executed by holding run and then performing a strike. This gives you an immediate x2 combo; knocking down the target and allowing you to go right into critical strikes. Whereas you would have to build up a x3 combo with three hite first otherwise,
00:20:03:12,2.02,Good Bait,That was a good bait from throw,
00:20:06:05,5.02,Takedown High Sec,It's a good idea to just use combo takedown to finish off the high sec guys so they won't cause you problems.,
00:20:25:50,15.02,No Multi-Hit,In hindsight; I'm surprised this strike didn't hit both henchmen. I even waited before buffering attack and countered instead so I wouldn't drop my combo because I expected the multi-hit,
00:20:56:51,4.05,Zsasz,He's basically just a reskinned high sec henchman,
00:21:19:45,6.02,Batclaw Against Stunstick,Make sure you immediately AR if you yank a stunstick guy or you will take damage,
00:21:44:11,5.02,Momentum Strikes,Sometimes your long range strikes will have enough momentum to send enemies flying. You can use this to your advantage,
00:21:54:02,0.02,Unexpected Combo,I only just discovered this upon review of the footage; but it seems like you can combo the QB into UB. Not sure why you would want to do this ; maybe for extra damage and CC or just farming variation bonus,
00:22:14:30,4.02,Cape Stalling,This keeps you from dropping your combo,
00:23:01:17,8.02,Marker 42,I'm stunning this guy with the batarang because he could detect and even target me before the animation completes,
00:23:14:07,6.33,Unexpected Benefit,As a knock on; this is a perfect setup for an inverted takedown unexpectedly. I see an opportunity to do it here,
00:23:58:05,7.97,RCB Positioning,I'm using RCB to position one of these thugs under the gargoyle,
00:24:24:44,6.27,Gargoyle Stealth,I think as long as you remain still; they won't see you even if they are focusing the gargoyle,
00:25:47:58,8.02,Multi-Batarang Suppress,I was considering suppressing the other two with multi-batarang but I didn't want to risk hitting the guy under the gargoyle,
00:25:57:08,7.65,Isolated Target,Now I'm just picking an isolated target to get the last medal on,
00:26:33:45,6.93,Time Bonus,Since you are incentivized by the challenge to minimize your clear time,
00:27:25:56,4.02,Marker 45,I did that highly impractical combo for variation reasons,
00:28:20:20,4.68,Marker 46,If you don't have at least a x3 combo; batarang will not knock down an enemy,
00:29:18:41,12.55,Marker 47,This is an example of why hit confirming throws are a good idea before committing to a GT,
00:30:47:47,7.98,Cancel Rodeo,I really do wish you could cancel the titan rodeo move,
00:31:35:03,5.02,Shameless Self Promo,Well you can always check out my challenge mode expert video,
00:32:36:49,8.02,GT Prefers Range,GT will usually prefer range and will sometimes override the direction you are inputing. Perhaps I could have tried repositioning first with dodge or AR.,
00:33:41:27,0.02,Marker 48,The reason I don't start this fight with a flying kick is that both enemies in front; the baton guy and the knife guy are both immune to basic attacks,
00:34:50:14,6.98,SCT and Throw Don't Have iframes,The SCT doesn't benefit from iframes when it comes to Titan henchmen in general,
00:35:15:00,8.68,Rodeo is Canceled,I specifically didn't want to do a Titan rodeo. If you are nearby a fallen Titan and you do a strike; the aggressive suck to target will make you rodeo ride even if you don't push in his direction. I wish this applied when they were standing upright,
00:35:30:45,8.02,BC + AR Setup,This setup guarantees they can be finished with GT; whereas throw or strike could KO them by themselves.,
00:35:42:59,15.02,Titan AR Bug,This thing haunts me anytime I'm fighting Titan class enemies. I wish I knew what causes it. Could be they can't be AR'd when in certain animations. Even when you dodge perfectly towards their center of mass.,
00:36:46:28,23.53,Better Setup,A better setup might be; 3 takedown somewhere; lure thug up ladder above grate; ST against thug checking out ladder body. I ended up implementing this later when I went back to perfect these challenges,
00:38:25:46,5.02,Better Approach,A better approach is to climb up the ladder and sneak under the window,
00:38:46:26,14.80,Proxy Det Range Overestimated,I obviously overestimated the range on the proxy detonator for the explosive gel. I thought I was covered while I was ripping the vent off the wall. I could have either place the gel differently or used UB to rip the vent off faster to avoid getting hit,
00:40:21:00,10.02,Ceiling Has Wider AOE,The ceiling weak wall seems to have a wider AOE when detonated with gel than the wall,
